eps,min sample,alpha,beta,mean ARI score
85.0,2.0,0.8,10.0,0.5768352911102391
85.0,2.0,1.0,10.0,0.657051928809308
85.0,2.0,1.2,10.0,0.6890926801765606
85.0,2.0,0.8,15.0,0.6616601800044568
85.0,2.0,1.0,15.0,0.7328405540871243
85.0,2.0,1.2,15.0,0.7511377042347781
85.0,2.0,0.8,20.0,0.7256421875939981
85.0,2.0,1.0,20.0,0.784127098408679
85.0,2.0,1.2,20.0,0.7745152112111044
85.0,2.0,0.8,25.0,0.7466361505891195
85.0,2.0,1.0,25.0,0.7901126518222944
85.0,2.0,1.2,25.0,0.7681539962282813
85.0,2.0,0.8,30.0,0.7595957090239803
85.0,2.0,1.0,30.0,0.7811093117233504
85.0,2.0,1.2,30.0,0.7387946845744737
85.0,2.0,0.8,35.0,0.7546051711317096
85.0,2.0,1.0,35.0,0.752298909304964
85.0,2.0,1.2,35.0,0.7044930854970531
85.0,2.0,0.8,40.0,0.7306766507954521
85.0,2.0,1.0,40.0,0.7201912105696484
85.0,2.0,1.2,40.0,0.6714928141376655
