eps,min sample,alpha,beta,mean ARI score
85.0,2.0,0.8,10.0,0.2948531729619081
85.0,2.0,1.0,10.0,0.3675510753885576
85.0,2.0,1.2,10.0,0.42192381152665964
85.0,2.0,0.8,15.0,0.41177113746691274
85.0,2.0,1.0,15.0,0.48952236186951253
85.0,2.0,1.2,15.0,0.5485198572183905
85.0,2.0,0.8,20.0,0.4852749655610533
85.0,2.0,1.0,20.0,0.5700199379948149
85.0,2.0,1.2,20.0,0.6111249489042305
85.0,2.0,0.8,25.0,0.5365897806245381
85.0,2.0,1.0,25.0,0.5814307919431766
85.0,2.0,1.2,25.0,0.6195168171373642
85.0,2.0,0.8,30.0,0.5697842183659036
85.0,2.0,1.0,30.0,0.6100003335968597
85.0,2.0,1.2,30.0,0.6234811886465709
85.0,2.0,0.8,35.0,0.5779291724892925
85.0,2.0,1.0,35.0,0.6243681004920528
85.0,2.0,1.2,35.0,0.6264208986867119
85.0,2.0,0.8,40.0,0.5994585189621463
85.0,2.0,1.0,40.0,0.6280542935693331
85.0,2.0,1.2,40.0,0.6294894709795752
